name	org	position	bio
Timo Aarnio	National Land Survey of Finland	none	"undefined"
Vladimir Agafonkin	Mapbox	Software Engineer	"Vladimir is an open source enthusiast and a software engineer at Mapbox. He created Leaflet, the most popular open source library for interactive maps, and maintains a few dozen more libraries with a focus on high-performance spatial algorithms. Aside from engineering, Vladimir is an avid musician, being the frontman of the Ukrainian progressive rock band Obiymy Doschu, and a father of twin girls."
Sarthak Agarwal	International Institute of Information Technology	Research Student	"undefined"
Andrea Aime	GeoSolutions	Technical Lead	"undefined"
Scott Almes	JHUAPL/APL	none	"Scott Almes currently works at Johns Hopkins University Applied Physics Lab as a software engineer specializing in remote sensing. Scott has spent the majority of his career working with LiDAR data and its derivatives, from actively controlling airborne sensors mid flight to post processing and dissemination of data products. Scott also moonlights as an instructor in the computer science department at the University of Maryland Baltimore County."
Matthew Amato	Cesium	Senior Software Architect	"Matt is a cofounder of the Cesium project and a senior software architect at Analytical Graphics, Inc (AGI). He is currently the technical lead for Cesium Composer, which makes it easy for users to upload, convert, and host terrain, models, and vector data and interactively create customized 3D mapping applications. He has a BS in Computer Science from Drexel University and over 17 years of professional coding experience."
Giuseppe Amatulli	Yale University	none	"undefined"
Luiz Claudio Andrade	Brazilian Army	Cartographic Engineer	"Cartographic Engineer graduated at the Military Institute of Technology (Brazil) in 2005 - Postgraduated in Systems Engineering at ESAB (Brazil) in 2011 - Postgraduated in Geoinformatics at ITC (Netherlands) in 2014 - Ongoing MSc in Geoprocessing at University of Brasília (Brazil)."
Claudia Arevalo Nieto	UPENN- UPCH Zoonotic Disease Research Center	Data Lab Coordinator	"undefined"
María Arias de Reyna	GeoCat BV	Software Engineer	"María Arias de Reyna, a Software Engineer at GeoCat, is one of the core developers of GeoNetwork, a free and open source catalog to manage spatially referenced resources under the OSGeo umbrella. María has been working with geospatial software for almost a decade: from fleet management to routing platforms and now metadata. She is a free (as in freedom) and open software evangelist and a very active member within several developer communities."
Patrick Arlt	Esri	Designer/Developer	"undefined"
Morten Aronsen	Norwegian Defence Research Establishment (FFI)	Senior scientist	"I was previously a Naval Officer now gone mad scientist. In addition to the Royal Norwegian Naval Academy, I have a MSc in Marine Technology Nautical Science. Programming skills are self taught and thus rough, but with operational use in mind. My main topic of work is Maritime Situational Awareness in all aspects."
Emily Ashley	Boundless	none	"undefined"
Yuri Astrakhan	Elastic & Wikipedia developer	Sr Software Engineer	"undefined"
Norman Barker	The Weather Company, and IBM Business	Senior Software Engineer	"Norman is a long term consumer and developer of open source technology, having made contributions to GeoMesa, CouchDB, libspatialindex, GDAL and others projects. His primary interest is in geospatial big data, in particular the indexing of this data to enable analytics.  He is currently a Senior Software Engineer at The Weather Company, an IBM business."
Richard Barnes	UC Berkeley	PhD Student	"Richard applies high-performance computational and mathematical techniques to better understand the complex interface of society and the environment. As part of this effort he has developed sensor devices, algorithms, and analyses to collect and understand high-resolution data sets involving terrain, hydrology, and animal movements. By advancing the state of the art in this area, he helps land-use planners to optimize their decisions at large spatial scales.

Richard serves as an Associate Editor of the journal Computers & Geosciences and welcomes discussions about potential articles for the journal.

He is currently pursuing a PhD with UC Berkeley's Energy & Resources group having previously obtained an MS in Ecology, a BS in Physics, and a BA in Philosophy from the University of Minnesota.

http://rbarnes.org"
Christopher Barnett	Tufts University	Sr. Geospatial Analyst	"undefined"
Todd Barr	Vantage-SE	none	"undefined"
Francesco Bartoli	Geobeyond Srl	Chief Technology Officer	"undefined"
Mauro Bartolomeoli	GeoSolutions Sas	Senior Engineer	"undefined"
Bob Basques	SharedGeo	none	"undefined"
Lucy Bastin	Joint Research Centre of the European Commission	none	"undefined"
Andrew Battista	New York University	none	"undefined"
Dennis Bauszus	GEOLYTIX	none	"undefined"
Kathleen Baynes	NASA Earth Science Data and Information Systems	Systems Architect	"undefined"
Penny Beames	McGill University	Masters Student	"undefined"
Worth Becker	Prominent Edge	Senior Cloud Engineer	"undefined"
Spencer Bell	Pennsylvania State University	none	"I am a student in the MGIS program at Penn State. My focus in this program has been web mapping and programming in R."
William Bell	Metro Commercial Real Estate	none	"undefined"
Dakota Benjamin	Cleveland Metroparks	none	"undefined"
Luis Bermudez	OGC	Executive Director Innovation Program	"undefined"
Adrien Bigler	HEIG-VD	none	"After having obtained my Bachelor's degree as a media engineer at the HEIG-VD, I worked for more than 5 years in the Media Engineering Institute as developer of iOS applications and websites. I am now a lead developer and project manager for this institute."
Janine Billadello	Baruch College CUNY	none	"undefined"
Leandro Biondo	Brazilian Forest Services	Environmental Analyst	"undefined"
Jesse Bishop	NBT Solutions	Senior GIS Analyst/Geospatial Wrecking Crew	"Jesse leads the Geospatial Wrecking Crew at NBT Solutions, a Spatial IT company based in Portland, Maine. He is the Geospatial Architect behind NBT’s multiple mapping applications built for clients, and for their flagship telecommunications infrastructure mapping platform, VETRO FiberMap.

Throughout his career, he has focused on using GIS, remote sensing, and computer programming to better understand spatial relationships in data. Jesse has also focused on teaching others how to collect, interpret, and present spatial data through K-12 student-teacher-scientist partnerships, teaching professional workshops, and helping build connections in the geospatial community."
David Bitner	Boundless Spatial	Senior Development Engineer	"undefined"
Stan Blaauw	San Jose Water Company	Web Developer	"undefined"
Mara Blake	University of Michigan	Spatial and Numeric Data Librarian	"Mara is the Data Services Manager at the Sheridan Libraries of Johns Hopkins University. Previously she served as a Spatial and Numeric Data Librarian at the University of Michigan and worked on the Big Ten Academic Alliance Geospatial Data Project."
David Blasby	Boundless	GeoGIG engineering lead	"undefined"
Niene Boeijen	Maptime Amsterdam	none	"undefined"
Andrew Bollinger	Development Seed	Developer and Data Analyst	"undefined"
Lorenzo Booth	University of California, Merced	none	"undefined"
Philipe Borba	Brazilian Army	none	"Cartographic Engineer graduated at the Military Institute of Engineering (Brazil) in 2012"
Nicola Bozon	ESRI France	none	"undefined"
Will Breikreutz	U.S. Army Corps of Engineers	none	"undefined"
Maria Brovelli	Politecnico di Milano	none	"undefined"
Myron Brown	The Johns Hopkins University Applied Physics Laboratory	Principal Engineer	"undefined"
